"matricula","carrera","periodo","numRepPrev","año","semestre","cantidad_asig","tasa_rep_carga","ceneval_global","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","generacion","tasa_aprob_per_prev","tasa_aprob_gral_prev","asigMuchas","cuartil_repEst","asigRep_totalAsig","carrera_IA","carrera_IDeIO","carrera_ILyCS","carrera_II","carrera_IE","carrera_NI","carrera_TS","semestre_Otoño","complejidad_carga4","complejidad_carga5","año_encurso","carga_aprobada","recursando","total_recursando","depto","practicante","situacion","situacion_Condicionado","situacion_Irregular","situacion_Regular","depto_EyN","depto_TSGyH"
106466400,"Innovación Empresarial",201603,0,2016,"Otoño",1,10.1694915254237,1084,1000,940,1150,1120,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,1,0,0,1,4,1,7,1,0,0,"EyN",1,"Regular",0,0,1,1,0
106466423,"Innovación Empresarial",201603,0,2016,"Otoño",3,0,1042,910,1060,1240,1000,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,1,0,0,1,4,1,7,1,0,0,"EyN",0,"Regular",0,0,1,1,0
106466451,"Innovación Empresarial",201601,0,2016,"Primavera",2,10.3036094748715,988,970,940,1060,970,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,7,0,0,0,"EyN",1,"Regular",0,0,1,1,0
106466451,"Innovación Empresarial",201603,1,2016,"Otoño",1,6.68316831683168,988,970,940,1060,970,4,2010,1,1,0,3,0.5,0,0,0,0,1,0,0,1,4,1,7,0,1,1,"EyN",0,"Condicionado",1,0,0,1,0
106466452,"Innovación Empresarial",201601,0,2016,"Primavera",6,11.7656358389606,994,940,910,1090,1030,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2,7,1,0,0,"EyN",1,"Regular",0,0,1,1,0
106466452,"Innovación Empresarial",201603,0,2016,"Otoño",1,7.80856423173804,994,940,910,1090,1030,7.83333333333333,2010,1,1,0,1,0,0,0,0,0,1,0,0,1,4,1,7,1,0,0,"EyN",0,"Regular",0,0,1,1,0
106466473,"Innovación Empresarial",201601,0,2016,"Primavera",3,7.36783991289669,1030,1000,1000,1090,1120,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,7,0,0,0,"EyN",0,"Regular",0,0,1,1,0
106466473,"Innovación Empresarial",201801,0,2018,"Primavera",5,8.55133124212326,1030,1000,1000,1090,1120,7.71428571428571,2010,1,1,0,1,0,0,0,0,0,1,0,0,0,4,1,9,0,1,1,"EyN",0,"Irregular",0,1,0,1,0
106466601,"Negocios Internacionales",201601,0,2016,"Primavera",3,4.62175992413351,982,880,820,1000,1000,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,7,1,0,0,"EyN",0,"Regular",0,0,1,1,0
106466635,"Negocios Internacionales",201603,0,2016,"Otoño",1,15.2542372881356,1150,1210,1090,1180,1180,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,1,0,1,4,1,7,1,0,0,"EyN",1,"Regular",0,0,1,1,0
106466673,"Negocios Internacionales",201603,0,2016,"Otoño",1,5.14285714285714,988,970,910,1090,1000,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,1,0,1,4,1,7,1,0,0,"EyN",0,"Regular",0,0,1,1,0
106466678,"Negocios Internacionales",201601,0,2016,"Primavera",6,8.68260352715247,1114,970,1090,1180,1240,8.44444444444444,2010,0,0,0,1,0,0,0,0,0,0,1,0,0,4,2,7,0,0,0,"EyN",0,"Regular",0,0,1,1,0
106466678,"Negocios Internacionales",201603,3,2016,"Otoño",3,11.5254053055533,1114,970,1090,1180,1240,5.33333333333333,2010,0,0,0,4,0.5,0,0,0,0,0,1,0,1,4,1,7,0,1,2,"EyN",0,"Condicionado",1,0,0,1,0
